,No,PR No,PR Url,PR Status,PR Contributors,Active PR Time,Active time(in Seconds)
450,257,450,https://github.com//HarshCasper/Rotten-Scripts/pull/445,Merged,"['frbimo', 'HarshCasper']",3 days 11:07:30.000000000,299250.0
451,258,451,https://github.com//HarshCasper/Rotten-Scripts/pull/442,Merged,"['twozero88', 'HarshCasper']",12 days 20:24:25.000000000,1110265.0
454,259,454,https://github.com//HarshCasper/Rotten-Scripts/pull/432,Merged,"['rohankumawat', 'HarshCasper']",58 days 09:24:10.000000000,5045050.0
458,260,458,https://github.com//HarshCasper/Rotten-Scripts/pull/426,Merged,"['gupta-piyush19', 'HarshCasper']",7 days 21:51:38.000000000,683498.0
460,261,460,https://github.com//HarshCasper/Rotten-Scripts/pull/420,Merged,"['vvHacker007', 'HarshCasper']",0 days 13:27:12.000000000,48432.0
462,262,462,https://github.com//HarshCasper/Rotten-Scripts/pull/418,Merged,"['KILR007', 'HarshCasper']",73 days 00:33:33.000000000,6309213.0
463,263,463,https://github.com//HarshCasper/Rotten-Scripts/pull/416,Merged,"['hardword', 'HarshCasper', 'howardshin1']",1 days 21:08:18.000000000,162498.0
465,264,465,https://github.com//HarshCasper/Rotten-Scripts/pull/413,Merged,"['sameersrivastava13', 'HarshCasper']",0 days 00:28:11.000000000,1691.0
466,265,466,https://github.com//HarshCasper/Rotten-Scripts/pull/412,Merged,[],0 days 21:59:08.000000000,79148.0
473,266,473,https://github.com//HarshCasper/Rotten-Scripts/pull/402,Merged,[],1 days 00:12:44.000000000,87164.0
476,267,476,https://github.com//HarshCasper/Rotten-Scripts/pull/396,Merged,"['SANKET7738', 'HarshCasper']",1 days 08:50:04.000000000,118204.0
477,268,477,https://github.com//HarshCasper/Rotten-Scripts/pull/395,Merged,"['rutujadhanawade', 'HarshCasper']",1 days 17:05:15.000000000,147915.0
478,269,478,https://github.com//HarshCasper/Rotten-Scripts/pull/393,Merged,"['simarpreetsingh-019', 'HarshCasper']",3 days 19:53:04.000000000,330784.0
479,270,479,https://github.com//HarshCasper/Rotten-Scripts/pull/391,Merged,"['SANKET7738', 'HarshCasper']",3 days 14:55:15.000000000,312915.0
